suite	backend	repeat	file	exit_code	wall_seconds	vc_count	truncated	message
loom	crush-verify	1	LoomBackend.lean	0	10	4	false	-
loom	crush-core	1	LoomBackend.lean	0	10	4	false	-
loom	crush-alethe	1	LoomBackend.lean	0	23	4	false	-
loom	crush-portfolio	1	LoomBackend.lean	0	22	4	false	-
loom	grind	1	LoomBackend.lean	0	5	4	false	-
cashmere	crush-verify	1	CaseStudies/Cashmere/Cashmere.lean	0	13	28	false	-
cashmere	crush-verify	1	CaseStudies/Cashmere/CashmereIncorrectnessLogic.lean	0	12	10	false	-
cashmere	crush-core	1	CaseStudies/Cashmere/Cashmere.lean	0	12	28	false	-
cashmere	crush-core	1	CaseStudies/Cashmere/CashmereIncorrectnessLogic.lean	0	12	10	false	-
cashmere	crush-alethe	1	CaseStudies/Cashmere/Cashmere.lean	1	12	28	false	-
cashmere	crush-alethe	1	CaseStudies/Cashmere/CashmereIncorrectnessLogic.lean	1	13	10	false	-
cashmere	crush-portfolio	1	CaseStudies/Cashmere/Cashmere.lean	0	12	28	false	-
cashmere	crush-portfolio	1	CaseStudies/Cashmere/CashmereIncorrectnessLogic.lean	0	11	10	false	-
cashmere	grind	1	CaseStudies/Cashmere/Cashmere.lean	1	5	28	false	-
cashmere	grind	1	CaseStudies/Cashmere/CashmereIncorrectnessLogic.lean	1	5	10	false	-
velvet	crush-verify	1	Velvet/Examples/EncodeDecodeStr.lean	1	31	27	false	-
velvet	crush-verify	1	Velvet/Examples/Examples.lean	1	26	40	false	-
velvet	crush-verify	1	Velvet/Examples/Examples_Total.lean	1	33	73	false	-
velvet	crush-verify	1	Velvet/Examples/GCD.lean	0	10	3	false	-
velvet	crush-verify	1	Velvet/Examples/IsNonPrime.lean	1	31	15	false	-
velvet	crush-verify	1	Velvet/Examples/IsSorted.lean	0	26	14	false	-
velvet	crush-verify	1	Velvet/Examples/MaxElem.lean	0	10	10	false	-
velvet	crush-verify	1	Velvet/Examples/MemAlloc.lean	1	19	18	false	-
velvet	crush-verify	1	Velvet/Examples/Recursion.lean	1	34	60	false	-
velvet	crush-verify	1	Velvet/Examples/SmallHeartBeats.lean	1	37	18	false	-
velvet	crush-verify	1	Velvet/Examples/SpMSpV_Example.lean	0	21	78	false	-
velvet	crush-verify	1	Velvet/Examples/SubstringSearch.lean	0	32	74	false	-
velvet	crush-verify	1	Velvet/Examples/SumOfDigits.lean	0	10	8	false	-
velvet	crush-verify	1	Velvet/Examples/TestLoopControl.lean	0	12	23	false	-
velvet	crush-verify	1	Velvet/Examples/TestMatch.lean	0	10	7	false	-
velvet	crush-verify	1	Velvet/Examples/Total_Partial_example.lean	1	27	45	false	-
velvet	crush-core	1	Velvet/Examples/EncodeDecodeStr.lean	1	33	27	false	-
velvet	crush-core	1	Velvet/Examples/Examples.lean	1	32	40	false	-
velvet	crush-core	1	Velvet/Examples/Examples_Total.lean	1	40	73	false	-
velvet	crush-core	1	Velvet/Examples/GCD.lean	0	10	3	false	-
velvet	crush-core	1	Velvet/Examples/IsNonPrime.lean	1	34	15	false	-
velvet	crush-core	1	Velvet/Examples/IsSorted.lean	0	34	14	false	-
velvet	crush-core	1	Velvet/Examples/MaxElem.lean	0	10	10	false	-
velvet	crush-core	1	Velvet/Examples/MemAlloc.lean	1	21	18	false	-
velvet	crush-core	1	Velvet/Examples/Recursion.lean	1	34	60	false	-
velvet	crush-core	1	Velvet/Examples/SmallHeartBeats.lean	1	75	18	false	-
velvet	crush-core	1	Velvet/Examples/SpMSpV_Example.lean	1	63	56	true	declaration heartbeat exhaustion
velvet	crush-core	1	Velvet/Examples/SubstringSearch.lean	1	57	16	true	declaration heartbeat exhaustion
velvet	crush-core	1	Velvet/Examples/SumOfDigits.lean	0	10	8	false	-
velvet	crush-core	1	Velvet/Examples/TestLoopControl.lean	0	13	23	false	-
velvet	crush-core	1	Velvet/Examples/TestMatch.lean	0	10	7	false	-
velvet	crush-core	1	Velvet/Examples/Total_Partial_example.lean	1	33	45	false	-
velvet	crush-alethe	1	Velvet/Examples/EncodeDecodeStr.lean	1	32	27	false	-
velvet	crush-alethe	1	Velvet/Examples/Examples.lean	1	26	40	false	-
velvet	crush-alethe	1	Velvet/Examples/Examples_Total.lean	1	33	73	false	-
velvet	crush-alethe	1	Velvet/Examples/GCD.lean	1	10	3	false	-
velvet	crush-alethe	1	Velvet/Examples/IsNonPrime.lean	1	44	15	false	-
velvet	crush-alethe	1	Velvet/Examples/IsSorted.lean	1	24	14	false	-
velvet	crush-alethe	1	Velvet/Examples/MaxElem.lean	1	10	10	false	-
velvet	crush-alethe	1	Velvet/Examples/MemAlloc.lean	1	20	18	false	-
velvet	crush-alethe	1	Velvet/Examples/Recursion.lean	1	48	60	false	-
velvet	crush-alethe	1	Velvet/Examples/SmallHeartBeats.lean	1	38	18	false	-
velvet	crush-alethe	1	Velvet/Examples/SpMSpV_Example.lean	1	21	78	false	-
velvet	crush-alethe	1	Velvet/Examples/SubstringSearch.lean	1	33	74	false	-
velvet	crush-alethe	1	Velvet/Examples/SumOfDigits.lean	1	11	8	false	-
velvet	crush-alethe	1	Velvet/Examples/TestLoopControl.lean	1	17	23	false	-
velvet	crush-alethe	1	Velvet/Examples/TestMatch.lean	0	11	7	false	-
velvet	crush-alethe	1	Velvet/Examples/Total_Partial_example.lean	1	25	45	false	-
velvet	crush-portfolio	1	Velvet/Examples/EncodeDecodeStr.lean	1	31	27	false	-
velvet	crush-portfolio	1	Velvet/Examples/Examples.lean	1	33	40	false	-
velvet	crush-portfolio	1	Velvet/Examples/Examples_Total.lean	1	40	73	false	-
velvet	crush-portfolio	1	Velvet/Examples/GCD.lean	0	10	3	false	-
velvet	crush-portfolio	1	Velvet/Examples/IsNonPrime.lean	1	35	15	false	-
velvet	crush-portfolio	1	Velvet/Examples/IsSorted.lean	0	33	14	false	-
velvet	crush-portfolio	1	Velvet/Examples/MaxElem.lean	0	10	10	false	-
velvet	crush-portfolio	1	Velvet/Examples/MemAlloc.lean	1	20	18	false	-
velvet	crush-portfolio	1	Velvet/Examples/Recursion.lean	1	45	60	false	-
velvet	crush-portfolio	1	Velvet/Examples/SmallHeartBeats.lean	1	74	18	false	-
velvet	crush-portfolio	1	Velvet/Examples/SpMSpV_Example.lean	1	63	56	true	declaration heartbeat exhaustion
velvet	crush-portfolio	1	Velvet/Examples/SubstringSearch.lean	1	60	16	true	declaration heartbeat exhaustion
velvet	crush-portfolio	1	Velvet/Examples/SumOfDigits.lean	0	12	8	false	-
velvet	crush-portfolio	1	Velvet/Examples/TestLoopControl.lean	0	18	23	false	-
velvet	crush-portfolio	1	Velvet/Examples/TestMatch.lean	0	11	7	false	-
velvet	crush-portfolio	1	Velvet/Examples/Total_Partial_example.lean	1	32	45	false	-
velvet	grind	1	Velvet/Examples/EncodeDecodeStr.lean	0	7	27	false	-
velvet	grind	1	Velvet/Examples/Examples.lean	1	8	40	false	-
velvet	grind	1	Velvet/Examples/Examples_Total.lean	1	8	73	false	-
velvet	grind	1	Velvet/Examples/GCD.lean	0	5	3	false	-
velvet	grind	1	Velvet/Examples/IsNonPrime.lean	0	12	15	false	-
velvet	grind	1	Velvet/Examples/IsSorted.lean	1	6	14	false	-
velvet	grind	1	Velvet/Examples/MaxElem.lean	0	5	10	false	-
velvet	grind	1	Velvet/Examples/MemAlloc.lean	0	14	18	false	-
velvet	grind	1	Velvet/Examples/Recursion.lean	1	17	60	false	-
velvet	grind	1	Velvet/Examples/SmallHeartBeats.lean	1	17	18	false	-
velvet	grind	1	Velvet/Examples/SpMSpV_Example.lean	1	12	78	false	-
velvet	grind	1	Velvet/Examples/SubstringSearch.lean	1	10	74	false	-
velvet	grind	1	Velvet/Examples/SumOfDigits.lean	0	6	8	false	-
