suite	backend	ref	commit	toolchain	repeat	file	proof	vc	goal_hash	status	category	milliseconds	message	goal
loom	duper	616f9cd8db660dcd74a1c92b0d19bb50420e1c59	616f9cd8db660dcd74a1c92b0d19bb50420e1c59	leanprover/lean4:v4.32.2	1	LoomBackend.lean	_example	16574041739855843339	16574041739855843339	fail	tactic	168	Duper failed to solve the goal and determined that it will be unable to do so with the current configuration of options and selection of premises	balance = oldBalance - amount
loom	duper	616f9cd8db660dcd74a1c92b0d19bb50420e1c59	616f9cd8db660dcd74a1c92b0d19bb50420e1c59	leanprover/lean4:v4.32.2	1	LoomBackend.lean	_example	17176297989995940323	17176297989995940323	fail	tactic	173	Duper failed to solve the goal and determined that it will be unable to do so with the current configuration of options and selection of premises	∀ j < i + 1, arr j ≤ mx'
loom	duper	616f9cd8db660dcd74a1c92b0d19bb50420e1c59	616f9cd8db660dcd74a1c92b0d19bb50420e1c59	leanprover/lean4:v4.32.2	1	LoomBackend.lean	_example	773944412226978707	773944412226978707	fail	tactic	112	Duper failed to solve the goal and determined that it will be unable to do so with the current configuration of options and selection of premises	∀ j ≤ i, arr' j ≤ key
loom	duper	616f9cd8db660dcd74a1c92b0d19bb50420e1c59	616f9cd8db660dcd74a1c92b0d19bb50420e1c59	leanprover/lean4:v4.32.2	1	LoomBackend.lean	_example	11766715760782255510	11766715760782255510	pass	-	39	-	sum + rest = total ∧ 0 ≤ sum
cashmere	duper	616f9cd8db660dcd74a1c92b0d19bb50420e1c59	616f9cd8db660dcd74a1c92b0d19bb50420e1c59	leanprover/lean4:v4.32.2	1	CaseStudies/Cashmere/Cashmere.lean	withdraw_correct	1631738648950044227	1631738648950044227	fail	tactic	846	Duper failed to solve the goal and determined that it will be unable to do so with the current configuration of options and selection of premises	x - ↑amount + ↑amount = balanceOld
cashmere	duper	616f9cd8db660dcd74a1c92b0d19bb50420e1c59	616f9cd8db660dcd74a1c92b0d19bb50420e1c59	leanprover/lean4:v4.32.2	1	CaseStudies/Cashmere/Cashmere.lean	withdrawSession_correct	11756138257855701010	11756138257855701010	fail	tactic	1978	Duper failed to solve the goal and determined that it will be unable to do so with the current configuration of options and selection of premises	balance - ↑tmp.head! + ↑amounts.sum = x + ↑tmp.tail.sum
cashmere	duper	616f9cd8db660dcd74a1c92b0d19bb50420e1c59	616f9cd8db660dcd74a1c92b0d19bb50420e1c59	leanprover/lean4:v4.32.2	1	CaseStudies/Cashmere/Cashmere.lean	withdrawSession_correct	2825169037077011539	2825169037077011539	pass	-	2	-	balance + ↑amounts.sum = x + ↑tmp.sum
cashmere	duper	616f9cd8db660dcd74a1c92b0d19bb50420e1c59	616f9cd8db660dcd74a1c92b0d19bb50420e1c59	leanprover/lean4:v4.32.2	1	CaseStudies/Cashmere/Cashmere.lean	withdrawSession_correct	14833385480787993856	14833385480787993856	pass	-	120	-	¬tmp.nonEmpty
cashmere	duper	616f9cd8db660dcd74a1c92b0d19bb50420e1c59	616f9cd8db660dcd74a1c92b0d19bb50420e1c59	leanprover/lean4:v4.32.2	1	CaseStudies/Cashmere/Cashmere.lean	withdrawSession_correct	15214630116673553496	15214630116673553496	fail	tactic	1323	Duper failed to solve the goal and determined that it will be unable to do so with the current configuration of options and selection of premises	i + ↑amounts.sum = balanceOld
cashmere	duper	616f9cd8db660dcd74a1c92b0d19bb50420e1c59	616f9cd8db660dcd74a1c92b0d19bb50420e1c59	leanprover/lean4:v4.32.2	1	CaseStudies/Cashmere/Cashmere.lean	withdrawSessionTot_correct	11756138257855701010	11756138257855701010	fail	tactic	4787	Duper failed to solve the goal and determined that it will be unable to do so with the current configuration of options and selection of premises	balance - ↑tmp.head! + ↑amounts.sum = x + ↑tmp.tail.sum
cashmere	duper	616f9cd8db660dcd74a1c92b0d19bb50420e1c59	616f9cd8db660dcd74a1c92b0d19bb50420e1c59	leanprover/lean4:v4.32.2	1	CaseStudies/Cashmere/Cashmere.lean	withdrawSessionTot_correct	2592897230707726799	2592897230707726799	pass	-	133	-	tmp.tail.length < tmp.length
cashmere	duper	616f9cd8db660dcd74a1c92b0d19bb50420e1c59	616f9cd8db660dcd74a1c92b0d19bb50420e1c59	leanprover/lean4:v4.32.2	1	CaseStudies/Cashmere/Cashmere.lean	withdrawSessionTot_correct	2825169037077011539	2825169037077011539	pass	-	3	-	balance + ↑amounts.sum = x + ↑tmp.sum
cashmere	duper	616f9cd8db660dcd74a1c92b0d19bb50420e1c59	616f9cd8db660dcd74a1c92b0d19bb50420e1c59	leanprover/lean4:v4.32.2	1	CaseStudies/Cashmere/Cashmere.lean	withdrawSessionTot_correct	14833385480787993856	14833385480787993856	pass	-	112	-	¬tmp.nonEmpty
