suite	backend	ref	commit	toolchain	repeat	file	proof	vc	goal_hash	status	category	milliseconds	message	goal
velvet	crush	e90d79341bb8ef510ec868623e74cfe98feaa4e8	e90d79341bb8ef510ec868623e74cfe98feaa4e8	leanprover/lean4:v4.32.2	1	Velvet/Examples/SubstringSearch.lean	SubstringSearch_correct	18217664312208415458	18217664312208415458	pass	-	123	-	¬false = true → ∀ i < s.size, ¬p s[i]! = true
velvet	crush	e90d79341bb8ef510ec868623e74cfe98feaa4e8	e90d79341bb8ef510ec868623e74cfe98feaa4e8	leanprover/lean4:v4.32.2	1	Velvet/Examples/SubstringSearch.lean	SubstringSearch_correct	14717207787831772510	14717207787831772510	pass	-	73	-	false = true → ∀ (l₁ r₁ : ℕ), CorrectSubstring s p l₁ r₁ → r₁ - l₁ + 1 = 0 - 0 + 1 ∧ 0 ≤ r₁ ∨ r₁ - l₁ + 1 < 0 - 0 + 1
velvet	crush	e90d79341bb8ef510ec868623e74cfe98feaa4e8	e90d79341bb8ef510ec868623e74cfe98feaa4e8	leanprover/lean4:v4.32.2	1	Velvet/Examples/SubstringSearch.lean	SubstringSearch_correct	10323933724704776680	10323933724704776680	pass	-	40	-	false = true → CorrectSubstring s p 0 0
velvet	crush	e90d79341bb8ef510ec868623e74cfe98feaa4e8	e90d79341bb8ef510ec868623e74cfe98feaa4e8	leanprover/lean4:v4.32.2	1	Velvet/Examples/SubstringSearch.lean	SubstringSearch_correct	8391554914672281118	8391554914672281118	pass	-	2	-	0 < s.size → 0 < s.size
velvet	crush	e90d79341bb8ef510ec868623e74cfe98feaa4e8	e90d79341bb8ef510ec868623e74cfe98feaa4e8	leanprover/lean4:v4.32.2	1	Velvet/Examples/SubstringSearch.lean	SubstringSearch_correct	6640297411548399355	6640297411548399355	pass	-	49	-	0 ≤ 0
velvet	crush	e90d79341bb8ef510ec868623e74cfe98feaa4e8	e90d79341bb8ef510ec868623e74cfe98feaa4e8	leanprover/lean4:v4.32.2	1	Velvet/Examples/SubstringSearch.lean	SubstringSearch_correct	4492008039209323302	4492008039209323302	pass	-	72	-	0 ≤ cnt + 1
velvet	crush	e90d79341bb8ef510ec868623e74cfe98feaa4e8	e90d79341bb8ef510ec868623e74cfe98feaa4e8	leanprover/lean4:v4.32.2	1	Velvet/Examples/SubstringSearch.lean	SubstringSearch_correct	16506446102682745284	16506446102682745284	pass	-	82	-	cnt + 1 ≤ pnt + 1
velvet	crush	e90d79341bb8ef510ec868623e74cfe98feaa4e8	e90d79341bb8ef510ec868623e74cfe98feaa4e8	leanprover/lean4:v4.32.2	1	Velvet/Examples/SubstringSearch.lean	SubstringSearch_correct	4056255141881592010	4056255141881592010	pass	-	26	-	pnt + 1 ≤ s.size
velvet	crush	e90d79341bb8ef510ec868623e74cfe98feaa4e8	e90d79341bb8ef510ec868623e74cfe98feaa4e8	leanprover/lean4:v4.32.2	1	Velvet/Examples/SubstringSearch.lean	SubstringSearch_correct	10653939026877543916	10653939026877543916	pass	-	91	-	pnt + 1 - (cnt + 1) ≤ pnt
velvet	crush	e90d79341bb8ef510ec868623e74cfe98feaa4e8	e90d79341bb8ef510ec868623e74cfe98feaa4e8	leanprover/lean4:v4.32.2	1	Velvet/Examples/SubstringSearch.lean	SubstringSearch_correct	11759649870705798849	11759649870705798849	pass	-	16	-	pnt < s.size
velvet	crush	e90d79341bb8ef510ec868623e74cfe98feaa4e8	e90d79341bb8ef510ec868623e74cfe98feaa4e8	leanprover/lean4:v4.32.2	1	Velvet/Examples/SubstringSearch.lean	SubstringSearch_correct	18143633401136980304	18143633401136980304	pass	-	77	-	cnt + 1 ≤ cnt + 1
velvet	crush	e90d79341bb8ef510ec868623e74cfe98feaa4e8	e90d79341bb8ef510ec868623e74cfe98feaa4e8	leanprover/lean4:v4.32.2	1	Velvet/Examples/SubstringSearch.lean	SubstringSearch_correct	16856248441874989194	16856248441874989194	pass	-	74	-	pnt ≤ pnt + 1
velvet	crush	e90d79341bb8ef510ec868623e74cfe98feaa4e8	e90d79341bb8ef510ec868623e74cfe98feaa4e8	leanprover/lean4:v4.32.2	1	Velvet/Examples/SubstringSearch.lean	SubstringSearch_correct	1598574868652780333	1598574868652780333	pass	-	394	-	∀ (j : ℕ), pnt + 1 - (cnt + 1) ≤ j → j < pnt + 1 → p s[j]! = true
velvet	crush	e90d79341bb8ef510ec868623e74cfe98feaa4e8	e90d79341bb8ef510ec868623e74cfe98feaa4e8	leanprover/lean4:v4.32.2	1	Velvet/Examples/SubstringSearch.lean	SubstringSearch_correct	6083540873046640352	6083540873046640352	pass	-	149	-	cnt + 1 > 0 → cnt + 1 = pnt - (pnt + 1 - (cnt + 1)) + 1 ∧ CorrectSubstring s p (pnt + 1 - (cnt + 1)) pnt
velvet	crush	e90d79341bb8ef510ec868623e74cfe98feaa4e8	e90d79341bb8ef510ec868623e74cfe98feaa4e8	leanprover/lean4:v4.32.2	1	Velvet/Examples/SubstringSearch.lean	SubstringSearch_correct	18314524564682266162	18314524564682266162	pass	-	44	-	cnt + 1 = 0 → ∀ i < pnt + 1, ¬p s[i]! = true
velvet	crush	e90d79341bb8ef510ec868623e74cfe98feaa4e8	e90d79341bb8ef510ec868623e74cfe98feaa4e8	leanprover/lean4:v4.32.2	1	Velvet/Examples/SubstringSearch.lean	SubstringSearch_correct	14859665284842375974	14859665284842375974	pass	-	184	-	cnt + 1 < pnt + 1 → ¬p s[pnt + 1 - (cnt + 1) - 1]! = true
