profile	case	run	status	tactic_ms
auto-only	00_import_only	1	pass	0
auto-only	01_prop_chain	1	pass	254
auto-only	02_congruence	1	pass	103
auto-only	03_quantified	1	pass	144
auto-only	04_existential	1	pass	157
auto-only	05_skolemization	1	pass	188
auto-only	06_funext	1	pass	114
auto-only	07_higher_order	1	fail	88
auto-only	08_int_linear	1	fail	104
auto-only	09_nat_sub	1	fail	80
auto-only	10_option_injective	1	fail	67
auto-only	11_enum_pigeonhole	1	fail	79
auto-only	12_list_assoc	1	pass	163
auto-only	13_composition	1	pass	173
auto-only	14_bool_mixed	1	fail	100
auto-only	15_bitvec	1	fail	77
auto-only	16_string	1	fail	78
auto-only	17_empty	1	fail	103
auto-only	18_church_tower	1	fail	2
auto-only	19_polymorphic	1	fail	1
auto-only	20_irrelevant_quantifier	1	fail	98
crush-only	00_import_only	1	pass	0
crush-only	01_prop_chain	1	pass	11
crush-only	02_congruence	1	pass	85
crush-only	03_quantified	1	pass	5
crush-only	04_existential	1	pass	6
crush-only	05_skolemization	1	pass	7
crush-only	06_funext	1	pass	104
crush-only	07_higher_order	1	pass	9
crush-only	08_int_linear	1	pass	107
crush-only	09_nat_sub	1	pass	117
crush-only	10_option_injective	1	pass	95
crush-only	11_enum_pigeonhole	1	pass	185
crush-only	12_list_assoc	1	pass	9
crush-only	13_composition	1	pass	107
crush-only	14_bool_mixed	1	pass	22
crush-only	15_bitvec	1	pass	119
crush-only	16_string	1	pass	100
crush-only	17_empty	1	pass	5
crush-only	18_church_tower	1	pass	158
crush-only	19_polymorphic	1	pass	6
crush-only	20_irrelevant_quantifier	1	pass	101
aesop-auto	00_import_only	1	pass	0
aesop-auto	01_prop_chain	1	pass	103
aesop-auto	02_congruence	1	pass	70
aesop-auto	03_quantified	1	pass	66
aesop-auto	04_existential	1	pass	95
aesop-auto	05_skolemization	1	pass	399
aesop-auto	06_funext	1	pass	93
aesop-auto	07_higher_order	1	pass	63
aesop-auto	08_int_linear	1	fail	5308
aesop-auto	09_nat_sub	1	pass	71
aesop-auto	10_option_injective	1	pass	66
aesop-auto	11_enum_pigeonhole	1	fail	113766
aesop-auto	12_list_assoc	1	pass	64
aesop-auto	13_composition	1	pass	65
aesop-auto	14_bool_mixed	1	pass	104
aesop-auto	15_bitvec	1	fail	5346
aesop-auto	16_string	1	pass	152
aesop-auto	17_empty	1	pass	88
aesop-auto	18_church_tower	1	fail	2
aesop-auto	19_polymorphic	1	fail	2
aesop-auto	20_irrelevant_quantifier	1	fail	5302
aesop-crush	00_import_only	1	pass	0
aesop-crush	01_prop_chain	1	pass	20
aesop-crush	02_congruence	1	pass	48
aesop-crush	03_quantified	1	pass	19
aesop-crush	04_existential	1	pass	19
aesop-crush	05_skolemization	1	pass	23
aesop-crush	06_funext	1	pass	57
aesop-crush	07_higher_order	1	pass	26
aesop-crush	08_int_linear	1	pass	145
aesop-crush	09_nat_sub	1	pass	49
aesop-crush	10_option_injective	1	pass	48
aesop-crush	11_enum_pigeonhole	1	pass	219
aesop-crush	12_list_assoc	1	pass	18
aesop-crush	13_composition	1	pass	67
aesop-crush	14_bool_mixed	1	pass	37
aesop-crush	15_bitvec	1	pass	255
aesop-crush	16_string	1	pass	114
aesop-crush	17_empty	1	pass	12
aesop-crush	18_church_tower	1	pass	75
aesop-crush	19_polymorphic	1	pass	16
aesop-crush	20_irrelevant_quantifier	1	pass	130
