profile	case	run	status	tactic_ms
crush-only	00_import_only	1	pass	0
crush-only	01_prop_chain	1	pass	8
crush-only	02_congruence	1	pass	43
crush-only	03_quantified	1	pass	7
crush-only	04_existential	1	pass	6
crush-only	05_skolemization	1	pass	9
crush-only	06_funext	1	pass	59
crush-only	07_higher_order	1	pass	11
crush-only	08_int_linear	1	pass	69
crush-only	09_nat_sub	1	pass	62
crush-only	10_option_injective	1	pass	34
crush-only	11_enum_pigeonhole	1	pass	132
crush-only	12_list_assoc	1	pass	9
crush-only	13_composition	1	pass	63
crush-only	14_bool_mixed	1	pass	22
crush-only	15_bitvec	1	pass	69
crush-only	16_string	1	pass	59
crush-only	17_empty	1	pass	6
crush-only	18_church_tower	1	pass	138
crush-only	19_polymorphic	1	pass	7
crush-only	20_irrelevant_quantifier	1	pass	50
crush-verify	00_import_only	1	pass	0
crush-verify	01_prop_chain	1	pass	53
crush-verify	02_congruence	1	pass	95
crush-verify	03_quantified	1	pass	65
crush-verify	04_existential	1	pass	87
crush-verify	05_skolemization	1	pass	6
crush-verify	06_funext	1	pass	84
crush-verify	07_higher_order	1	pass	4
crush-verify	08_int_linear	1	pass	77
crush-verify	09_nat_sub	1	pass	70
crush-verify	10_option_injective	1	pass	42
crush-verify	11_enum_pigeonhole	1	pass	52
crush-verify	12_list_assoc	1	pass	59
crush-verify	13_composition	1	pass	94
crush-verify	14_bool_mixed	1	pass	14
crush-verify	15_bitvec	1	pass	68
crush-verify	16_string	1	pass	48
crush-verify	17_empty	1	pass	4
crush-verify	18_church_tower	1	fail	5045
crush-verify	19_polymorphic	1	pass	73
crush-verify	20_irrelevant_quantifier	1	pass	73
crush-core	00_import_only	1	pass	0
crush-core	01_prop_chain	1	pass	5
crush-core	02_congruence	1	pass	69
crush-core	03_quantified	1	pass	4
crush-core	04_existential	1	pass	4
crush-core	05_skolemization	1	pass	6
crush-core	06_funext	1	pass	83
crush-core	07_higher_order	1	pass	5
crush-core	08_int_linear	1	pass	89
crush-core	09_nat_sub	1	pass	99
crush-core	10_option_injective	1	pass	64
crush-core	11_enum_pigeonhole	1	pass	179
crush-core	12_list_assoc	1	pass	4
crush-core	13_composition	1	pass	123
crush-core	14_bool_mixed	1	pass	14
crush-core	15_bitvec	1	pass	68
crush-core	16_string	1	pass	74
crush-core	17_empty	1	pass	3
crush-core	18_church_tower	1	fail	5089
crush-core	19_polymorphic	1	pass	5
crush-core	20_irrelevant_quantifier	1	pass	69
crush-alethe	00_import_only	1	pass	0
crush-alethe	01_prop_chain	1	pass	71
crush-alethe	02_congruence	1	pass	58
crush-alethe	03_quantified	1	pass	75
crush-alethe	04_existential	1	pass	139
crush-alethe	05_skolemization	1	fail	59
crush-alethe	06_funext	1	pass	995
crush-alethe	07_higher_order	1	pass	542
crush-alethe	08_int_linear	1	pass	1361
crush-alethe	09_nat_sub	1	pass	4844
crush-alethe	10_option_injective	1	pass	126
crush-alethe	11_enum_pigeonhole	1	fail	55
crush-alethe	12_list_assoc	1	pass	61
crush-alethe	13_composition	1	fail	121
crush-alethe	14_bool_mixed	1	pass	175
crush-alethe	15_bitvec	1	pass	85
crush-alethe	16_string	1	pass	64
crush-alethe	17_empty	1	fail	64
crush-alethe	18_church_tower	1	fail	5058
crush-alethe	19_polymorphic	1	fail	64
crush-alethe	20_irrelevant_quantifier	1	fail	46
crush-portfolio	00_import_only	1	pass	0
crush-portfolio	01_prop_chain	1	pass	6
crush-portfolio	02_congruence	1	pass	53
crush-portfolio	03_quantified	1	pass	4
crush-portfolio	04_existential	1	pass	3
crush-portfolio	05_skolemization	1	pass	6
crush-portfolio	06_funext	1	pass	653
crush-portfolio	07_higher_order	1	pass	4
crush-portfolio	08_int_linear	1	pass	625
crush-portfolio	09_nat_sub	1	pass	2877
crush-portfolio	10_option_injective	1	pass	68
crush-portfolio	11_enum_pigeonhole	1	pass	108
crush-portfolio	12_list_assoc	1	pass	4
crush-portfolio	13_composition	1	pass	109
crush-portfolio	14_bool_mixed	1	pass	13
crush-portfolio	15_bitvec	1	pass	93
crush-portfolio	16_string	1	pass	93
crush-portfolio	17_empty	1	pass	3
crush-portfolio	18_church_tower	1	fail	5052
crush-portfolio	19_polymorphic	1	pass	4
crush-portfolio	20_irrelevant_quantifier	1	pass	55
grind-only	00_import_only	1	pass	0
grind-only	01_prop_chain	1	pass	1
grind-only	02_congruence	1	pass	2
grind-only	03_quantified	1	pass	1
grind-only	04_existential	1	pass	2
grind-only	05_skolemization	1	fail	2
grind-only	06_funext	1	pass	2
grind-only	07_higher_order	1	pass	5
grind-only	08_int_linear	1	pass	4
grind-only	09_nat_sub	1	pass	8
grind-only	10_option_injective	1	pass	2
grind-only	11_enum_pigeonhole	1	fail	1
grind-only	12_list_assoc	1	pass	5
grind-only	13_composition	1	pass	4
grind-only	14_bool_mixed	1	pass	5
grind-only	15_bitvec	1	pass	10
grind-only	16_string	1	pass	2
grind-only	17_empty	1	pass	1
grind-only	18_church_tower	1	fail	1
grind-only	19_polymorphic	1	fail	1
grind-only	20_irrelevant_quantifier	1	pass	8
