profile	case	run	status	tactic_ms
crush-only	00_import_only	1	pass	0
crush-only	01_prop_chain	1	pass	12
crush-only	02_congruence	1	pass	44
crush-only	03_quantified	1	pass	5
crush-only	04_existential	1	pass	5
crush-only	05_skolemization	1	pass	7
crush-only	06_funext	1	pass	49
crush-only	07_higher_order	1	pass	9
crush-only	08_int_linear	1	pass	62
crush-only	09_nat_sub	1	pass	70
crush-only	10_option_injective	1	pass	37
crush-only	11_enum_pigeonhole	1	pass	131
crush-only	12_list_assoc	1	pass	8
crush-only	13_composition	1	pass	62
crush-only	14_bool_mixed	1	pass	20
crush-only	15_bitvec	1	pass	69
crush-only	16_string	1	pass	42
crush-only	17_empty	1	pass	5
crush-only	18_church_tower	1	pass	129
crush-only	19_polymorphic	1	pass	6
crush-only	20_irrelevant_quantifier	1	pass	48
aesop-crush	00_import_only	1	pass	0
aesop-crush	01_prop_chain	1	pass	20
aesop-crush	02_congruence	1	pass	64
aesop-crush	03_quantified	1	pass	20
aesop-crush	04_existential	1	pass	20
aesop-crush	05_skolemization	1	pass	28
aesop-crush	06_funext	1	pass	72
aesop-crush	07_higher_order	1	pass	24
aesop-crush	08_int_linear	1	pass	100
aesop-crush	09_nat_sub	1	pass	52
aesop-crush	10_option_injective	1	pass	53
aesop-crush	11_enum_pigeonhole	1	pass	169
aesop-crush	12_list_assoc	1	pass	20
aesop-crush	13_composition	1	pass	69
aesop-crush	14_bool_mixed	1	pass	38
aesop-crush	15_bitvec	1	pass	105
aesop-crush	16_string	1	pass	76
aesop-crush	17_empty	1	pass	12
aesop-crush	18_church_tower	1	pass	74
aesop-crush	19_polymorphic	1	pass	18
aesop-crush	20_irrelevant_quantifier	1	pass	80
