suite	lane	repeat	vc_key	declaration	goal_hash	outcome	replay	detail	total_nanos	phases	metrics
loom	crush-verify	1	LoomBackend.lean|_example|16574041739855843339	_example	16574041739855843339	verified	not-requested	solver returned unsat; closed under the trust policy	99483668	collect=1055459,pre-reconstruct=3871417,normalize=551000,monomorphize=694333,instantiate=854125,translate=8846709,solve=83610625	
loom	crush-verify	1	LoomBackend.lean|_example|17176297989995940323	_example	3183364163658682212	verified	not-requested	solver returned unsat; closed under the trust policy	100916291	collect=471750,pre-reconstruct=1119958,normalize=1256791,monomorphize=18875,instantiate=30375,translate=2066125,solve=95952417	
loom	crush-verify	1	LoomBackend.lean|_example|773944412226978707	_example	10692569989160547002	verified	not-requested	solver returned unsat; closed under the trust policy	106215708	collect=108417,pre-reconstruct=861667,normalize=48417,monomorphize=15166,instantiate=28166,translate=1429333,solve=103724542	
loom	crush-verify	1	LoomBackend.lean|_example|11766715760782255510	_example	11766715760782255510	verified	not-requested	solver returned unsat; closed under the trust policy	34793623	collect=99083,pre-reconstruct=1778791,normalize=216000,monomorphize=12375,instantiate=27833,translate=1073000,solve=31586541	
loom	crush-core	1	LoomBackend.lean|_example|16574041739855843339	_example	16574041739855843339	core-reconstructed	not-attempted	core-directed reconstruction succeeded	47602835	collect=515375,pre-reconstruct=3158500,normalize=408584,monomorphize=110625,instantiate=235750,translate=4884500,solve=27588584,replay=37167,reconstruct=10663750	
loom	crush-core	1	LoomBackend.lean|_example|17176297989995940323	_example	3183364163658682212	core-reconstructed	not-attempted	core-directed reconstruction succeeded	115530957	collect=454750,pre-reconstruct=2237708,normalize=1225250,monomorphize=18000,instantiate=26958,translate=2094708,solve=84652583,replay=5167,reconstruct=24815833	
loom	crush-core	1	LoomBackend.lean|_example|773944412226978707	_example	10692569989160547002	core-reconstructed	not-attempted	core-directed reconstruction succeeded	100485875	collect=118542,pre-reconstruct=890042,normalize=53083,monomorphize=16875,instantiate=25458,translate=1443167,solve=75156083,replay=5125,reconstruct=22777500	
loom	crush-core	1	LoomBackend.lean|_example|11766715760782255510	_example	11766715760782255510	core-reconstructed	not-attempted	core-directed reconstruction succeeded	49616042	collect=100959,pre-reconstruct=1840416,normalize=221459,monomorphize=12250,instantiate=25583,translate=1089583,solve=35276625,replay=4709,reconstruct=11044458	
loom	crush-alethe	1	LoomBackend.lean|_example|16574041739855843339	_example	16574041739855843339	alethe-reconstructed	success	Alethe certificate replay succeeded	119843209	collect=490500,normalize=374792,monomorphize=87000,instantiate=214917,translate=4589583,solve=28280042,replay=85806375	certificate_commands=14,certificate_assumes=2,certificate_steps=12,certificate_anchors=0,certificate_sexp_nodes=252,certificate_bytes=1112
loom	crush-alethe	1	LoomBackend.lean|_example|17176297989995940323	_example	3183364163658682212	alethe-reconstructed	success	Alethe certificate replay succeeded	8552460417	collect=1344458,normalize=1191042,monomorphize=20917,instantiate=26958,translate=2039750,solve=86659625,replay=8461177667	certificate_commands=673,certificate_assumes=42,certificate_steps=613,certificate_anchors=18,certificate_sexp_nodes=10551,certificate_bytes=51991
