suite	backend	repeat	file	exit_code	wall_seconds	vc_count	truncated	message
loom	duper	1	LoomBackend.lean	1	9	4	false	-
cashmere	duper	1	CaseStudies/Cashmere/Cashmere.lean	1	24	28	false	-
cashmere	duper	1	CaseStudies/Cashmere/CashmereIncorrectnessLogic.lean	1	11	10	false	-
velvet	duper	1	Velvet/Examples/EncodeDecodeStr.lean	1	31	27	false	-
velvet	duper	1	Velvet/Examples/Examples.lean	1	93	40	false	-
velvet	duper	1	Velvet/Examples/Examples_Total.lean	1	182	57	true	declaration heartbeat exhaustion
velvet	duper	1	Velvet/Examples/GCD.lean	1	6	3	false	-
velvet	duper	1	Velvet/Examples/IsNonPrime.lean	1	25	15	false	-
velvet	duper	1	Velvet/Examples/IsSorted.lean	1	46	14	false	-
velvet	duper	1	Velvet/Examples/MaxElem.lean	1	10	10	false	-
velvet	duper	1	Velvet/Examples/MemAlloc.lean	0	18	18	false	-
velvet	duper	1	Velvet/Examples/Recursion.lean	1	173	60	false	-
velvet	duper	1	Velvet/Examples/SmallHeartBeats.lean	1	202	18	false	-
velvet	duper	1	Velvet/Examples/SpMSpV_Example.lean	1	434	78	false	-
velvet	duper	1	Velvet/Examples/SubstringSearch.lean	1	838	74	false	-
velvet	duper	1	Velvet/Examples/SumOfDigits.lean	1	11	8	false	-
velvet	duper	1	Velvet/Examples/TestLoopControl.lean	1	87	23	false	-
velvet	duper	1	Velvet/Examples/TestMatch.lean	0	9	7	false	-
velvet	duper	1	Velvet/Examples/Total_Partial_example.lean	1	93	31	true	declaration heartbeat exhaustion
