suite	backend	ref	commit	toolchain	repeat	file	proof	vc	goal_hash	status	category	milliseconds	message	goal
loom	auto	origin/master	78928abc9054b31d0bea85985496490baae95244	leanprover/lean4:v4.24.0	1	LoomBackend.lean	_example	16574041739855843339	16574041739855843339	pass	-	178	-	balance = oldBalance - amount
loom	auto	origin/master	78928abc9054b31d0bea85985496490baae95244	leanprover/lean4:v4.24.0	1	LoomBackend.lean	_example	17176297989995940323	17176297989995940323	pass	-	66	-	∀ j < i + 1, arr j ≤ mx'
loom	auto	origin/master	78928abc9054b31d0bea85985496490baae95244	leanprover/lean4:v4.24.0	1	LoomBackend.lean	_example	773944412226978707	773944412226978707	pass	-	63	-	∀ j ≤ i, arr' j ≤ key
loom	auto	origin/master	78928abc9054b31d0bea85985496490baae95244	leanprover/lean4:v4.24.0	1	LoomBackend.lean	_example	11766715760782255510	11766715760782255510	pass	-	45	-	sum + rest = total ∧ 0 ≤ sum
loom	crush	origin/crush-backend	ec16b95ff8bbd047248de031cabd3160847e4b1b	leanprover/lean4:v4.32.2	1	LoomBackend.lean	_example	16574041739855843339	16574041739855843339	pass	-	220	-	balance = oldBalance - amount
loom	crush	origin/crush-backend	ec16b95ff8bbd047248de031cabd3160847e4b1b	leanprover/lean4:v4.32.2	1	LoomBackend.lean	_example	17176297989995940323	17176297989995940323	pass	-	193	-	∀ j < i + 1, arr j ≤ mx'
loom	crush	origin/crush-backend	ec16b95ff8bbd047248de031cabd3160847e4b1b	leanprover/lean4:v4.32.2	1	LoomBackend.lean	_example	773944412226978707	773944412226978707	pass	-	210	-	∀ j ≤ i, arr' j ≤ key
loom	crush	origin/crush-backend	ec16b95ff8bbd047248de031cabd3160847e4b1b	leanprover/lean4:v4.32.2	1	LoomBackend.lean	_example	11766715760782255510	11766715760782255510	pass	-	92	-	sum + rest = total ∧ 0 ≤ sum
cashmere	auto	origin/master	78928abc9054b31d0bea85985496490baae95244	leanprover/lean4:v4.24.0	1	CaseStudies/Cashmere/Cashmere.lean	withdraw_correct	1631738648950044227	1631738648950044227	pass	-	187	-	x - ↑amount + ↑amount = balanceOld
cashmere	auto	origin/master	78928abc9054b31d0bea85985496490baae95244	leanprover/lean4:v4.24.0	1	CaseStudies/Cashmere/Cashmere.lean	withdrawSession_correct	11756138257855701010	11756138257855701010	fail	tactic	190	backend returned without closing the goal	balance - ↑tmp.head! + ↑amounts.sum = x + ↑tmp.tail.sum
cashmere	auto	origin/master	78928abc9054b31d0bea85985496490baae95244	leanprover/lean4:v4.24.0	1	CaseStudies/Cashmere/Cashmere.lean	withdrawSession_correct	2825169037077011539	2825169037077011539	pass	-	91	-	balance + ↑amounts.sum = x + ↑tmp.sum
cashmere	auto	origin/master	78928abc9054b31d0bea85985496490baae95244	leanprover/lean4:v4.24.0	1	CaseStudies/Cashmere/Cashmere.lean	withdrawSession_correct	14833385480787993856	14833385480787993856	pass	-	89	-	¬tmp.nonEmpty
cashmere	auto	origin/master	78928abc9054b31d0bea85985496490baae95244	leanprover/lean4:v4.24.0	1	CaseStudies/Cashmere/Cashmere.lean	withdrawSession_correct	15214630116673553496	15214630116673553496	fail	tactic	191	backend returned without closing the goal	i + ↑amounts.sum = balanceOld
cashmere	auto	origin/master	78928abc9054b31d0bea85985496490baae95244	leanprover/lean4:v4.24.0	1	CaseStudies/Cashmere/Cashmere.lean	withdrawSessionTot_correct	11756138257855701010	11756138257855701010	fail	tactic	181	backend returned without closing the goal	balance - ↑tmp.head! + ↑amounts.sum = x + ↑tmp.tail.sum
cashmere	auto	origin/master	78928abc9054b31d0bea85985496490baae95244	leanprover/lean4:v4.24.0	1	CaseStudies/Cashmere/Cashmere.lean	withdrawSessionTot_correct	2592897230707726799	2592897230707726799	fail	tactic	128	backend returned without closing the goal	tmp.tail.length < tmp.length
cashmere	auto	origin/master	78928abc9054b31d0bea85985496490baae95244	leanprover/lean4:v4.24.0	1	CaseStudies/Cashmere/Cashmere.lean	withdrawSessionTot_correct	2825169037077011539	2825169037077011539	pass	-	91	-	balance + ↑amounts.sum = x + ↑tmp.sum
cashmere	auto	origin/master	78928abc9054b31d0bea85985496490baae95244	leanprover/lean4:v4.24.0	1	CaseStudies/Cashmere/Cashmere.lean	withdrawSessionTot_correct	14833385480787993856	14833385480787993856	pass	-	89	-	¬tmp.nonEmpty
cashmere	auto	origin/master	78928abc9054b31d0bea85985496490baae95244	leanprover/lean4:v4.24.0	1	CaseStudies/Cashmere/Cashmere.lean	withdrawSessionTot_correct	15214630116673553496	15214630116673553496	fail	tactic	188	backend returned without closing the goal	i + ↑amounts.sum = balanceOld
cashmere	auto	origin/master	78928abc9054b31d0bea85985496490baae95244	leanprover/lean4:v4.24.0	1	CaseStudies/Cashmere/Cashmere.lean	withdrawSessionExcept_correct	12346872860079934512	12346872860079934512	fail	tactic	166	backend returned without closing the goal	False
cashmere	auto	origin/master	78928abc9054b31d0bea85985496490baae95244	leanprover/lean4:v4.24.0	1	CaseStudies/Cashmere/Cashmere.lean	withdrawSessionExcept_correct	11756138257855701010	11756138257855701010	fail	tactic	191	backend returned without closing the goal	balance - ↑tmp.head! + ↑amounts.sum = x + ↑tmp.tail.sum
cashmere	auto	origin/master	78928abc9054b31d0bea85985496490baae95244	leanprover/lean4:v4.24.0	1	CaseStudies/Cashmere/Cashmere.lean	withdrawSessionExcept_correct	12800241106604992563	12800241106604992563	fail	tactic	179	backend returned without closing the goal	balance - ↑tmp.head! ≥ ↑tmp.tail.sum
cashmere	auto	origin/master	78928abc9054b31d0bea85985496490baae95244	leanprover/lean4:v4.24.0	1	CaseStudies/Cashmere/Cashmere.lean	withdrawSessionExcept_correct	2592897230707726799	2592897230707726799	fail	tactic	184	backend returned without closing the goal	tmp.tail.length < tmp.length
